nspname|proname|args|prosecdef|cfg|anon_x|auth_x|svc_x
public|dp_feriados_resolver|_unidade_id uuid, _inicio date, _fim date|t|search_path=public|f|t|t
public|dp_ferias_aprovar|_solicitacao_id uuid, _justificativa text, _resposta text|t|search_path=public|f|t|t
public|dp_ferias_cancelar|_gozo_id uuid, _motivo text|t|search_path=public|f|t|t
public|dp_ferias_cobertura_sugestao|_gozo_id uuid|t|search_path=public|f|t|t
public|dp_ferias_config|_company_id uuid, _unidade_id uuid|t|search_path=public|f|t|t
public|dp_ferias_corte_efetivo|_colaborador_id uuid|t|search_path=public|f|t|t
public|dp_ferias_definir_saldo_inicial|_periodo_id uuid, _dias integer, _obs text|t|search_path=public|f|t|t
public|dp_ferias_em_curso|_colaborador_id uuid, _data date|t|search_path=public|f|t|t
public|dp_ferias_gerar_periodos|_colaborador_id uuid|t|search_path=public|f|t|t
public|dp_ferias_gozo_after||t|search_path=public|f|f|t
public|dp_ferias_gozo_editar|p_gozo_id uuid, p_data_inicio date, p_data_fim date, p_dias_abono integer, p_adiantar_13 boolean, p_aviso_em date, p_observacao text, p_justificativa text|t|search_path=public|f|t|t
public|dp_ferias_gozo_validar||t|search_path=public|f|f|t
public|dp_ferias_gozo_validar_regras||t|search_path=public|f|f|t
public|dp_ferias_informar_faltas|_periodo_id uuid, _faltas integer, _motivo text|t|search_path=public|f|t|t
public|dp_ferias_manter_periodos|_company_id uuid|t|search_path=public|f|t|t
public|dp_ferias_marcar_informado|_gozo_id uuid, _status text|t|search_path=public|f|t|t
public|dp_ferias_materializar_status|_company_id uuid|t|search_path=public|f|t|t
public|dp_ferias_minhas||t|search_path=public|f|t|t
public|dp_ferias_periodo_conflitos|_colaborador_id uuid, _inicio date, _fim date|t|search_path=public|f|t|t
public|dp_ferias_programar|_periodo_id uuid, _data_inicio date, _data_fim date, _dias_abono integer, _adiantar_13 boolean, _observacao text, _justificativa text, _solicitacao_id uuid, _origem text|t|search_path=public|f|t|t
public|dp_ferias_recalc_periodo|_periodo_id uuid|t|search_path=public|f|t|t
public|dp_ferias_recusar|_solicitacao_id uuid, _motivo text|t|search_path=public|f|t|t
public|dp_ferias_registrar_aviso|_gozo_id uuid, _aviso_em date, _retroativo boolean, _justificativa text, _documento_id uuid|t|search_path=public|f|t|t
public|dp_ferias_registrar_ciencia|_gozo_id uuid|t|search_path=public|f|t|t
public|dp_ferias_solicitar|_periodo_id uuid, _data_inicio date, _data_fim date, _dias_abono integer, _adiantar_13 boolean, _observacao text|t|search_path=public|f|t|t
public|dp_ferias_validar_programacao|_colaborador_id uuid, _periodo_id uuid, _data_inicio date, _data_fim date, _dias_abono integer, _justificativa text, _ignorar_gozo_id uuid|t|search_path=public|f|t|t
